x,y,potential
-1.06552,7.90738,-0.6
-1.12968,7.89847,-0.6
-1.19376,7.88904,-0.6
-1.25776,7.87909,-0.6
-1.32168,7.86862,-0.6
-1.38551,7.85763,-0.6
-1.44925,7.84612,-0.6
-1.5129,7.8341,-0.6
-1.58515,7.8198,-0.6
-1.63988,7.80851,-0.510271
-1.70322,7.79494,-0.452226
-1.76644,7.78085,-0.410639
-1.82954,7.76626,-0.376594
-1.89253,7.75115,-0.346988
-1.95539,7.73553,-0.320376
-2.01812,7.7194,-0.295947
-2.08071,7.70277,-0.273192
-2.14317,7.68562,-0.251761
-2.20549,7.66797,-0.231405
-2.26767,7.64981,-0.211936
-2.32969,7.63115,-0.193206
-2.39156,7.61199,-0.175101
-2.45328,7.59233,-0.157522
-2.51483,7.57216,-0.140391
-2.57621,7.5515,-0.123638
-2.63743,7.53034,-0.107205
-2.69847,7.50868,-0.0910391
-2.75934,7.48652,-0.0750924
-2.82002,7.46388,-0.0593225
-2.88052,7.44074,-0.0436893
-2.94082,7.41711,-0.0281554
-3.00094,7.39299,-0.0126848
-3.06085,7.36839,0.00275724
-3.12056,7.3433,0.0182052
-3.18007,7.31773,0.0336937
-3.23937,7.29167,0.0492577
-3.29846,7.26513,0.0649337
-3.35732,7.23812,0.0807599
-3.41597,7.21063,0.0967772
-3.47439,7.18266,0.11303
-3.53258,7.15422,0.129567
-3.59054,7.12531,0.146442
-3.64827,7.09592,0.163719
-3.70575,7.06607,0.181469
-3.76299,7.03576,0.199776
-3.81998,7.00498,0.218743
-3.87672,6.97374,0.238496
-3.9332,6.94204,0.259192
-3.98942,6.90988,0.281036
-4.04538,6.87727,0.304306
-4.10108,6.8442,0.329391
-4.1565,6.81069,0.356879
-4.21165,6.77672,0.387742
-4.26653,6.74231,0.423858
-4.32112,6.70745,0.469836
-4.40856,6.65031,0.6
-4.42944,6.63642,0.6
-4.48317,6.60024,0.6
-4.5366,6.56363,0.6
-4.58973,6.52659,0.6
-4.64256,6.48911,0.6
-4.69509,6.45121,0.6
-4.7473,6.41289,0.6
-4.7992,6.37414,0.6
-4.85079,6.33497,0.6
-4.90205,6.29538,0.6
-4.953,6.25538,0.6
-5.00361,6.21497,0.6
-5.0539,6.17415,0.6
-5.10385,6.13292,0.6
-5.15347,6.09128,0.6
-5.20275,6.04925,0.6
-5.25168,6.00681,0.6
-5.30027,5.96398,0.6
-5.34851,5.92076,0.6
-5.3964,5.87715,0.6
-5.44393,5.83315,0.6
